,ranker,player,pos,age,team_id,g,gs,mp,fg_per_mp,fga_per_mp,fg_pct,fg3_per_mp,fg3a_per_mp,fg3_pct,fg2_per_mp,fg2a_per_mp,fg2_pct,ft_per_mp,fta_per_mp,ft_pct,orb_per_mp,drb_per_mp,trb_per_mp,ast_per_mp,stl_per_mp,blk_per_mp,tov_per_mp,pf_per_mp,pts_per_mp,player_link,team_id_link
451,427,Matisse Thybulle,SG,22,PHI,30,3,529,3.3,7.6,.438,2.1,4.6,.463,1.2,3.1,.400,1.1,1.6,.667,0.5,1.6,2.2,2.5,2.9,1.5,1.9,4.2,9.9,/players/t/thybuma01.html,/teams/PHI/2020.html
452,428,Anthony Tolliver,PF,34,POR,23,8,379,2.5,7.2,.342,2.0,5.8,.344,0.5,1.4,.333,1.0,1.3,.786,1.4,4.8,6.3,1.7,0.7,0.6,1.8,3.3,8.0,/players/t/tollian01.html,/teams/POR/2020.html
453,429,Karl-Anthony Towns,C,24,MIN,23,23,779,9.6,18.6,.514,3.8,9.1,.418,5.8,9.6,.604,5.2,6.6,.796,2.9,9.5,12.4,4.7,1.1,1.3,3.3,3.7,28.1,/players/t/townska01.html,/teams/MIN/2020.html
454,430,Gary Trent,SG,21,POR,20,1,217,4.0,10.8,.369,2.8,7.1,.395,1.2,3.6,.318,0.7,0.7,1.000,0.8,3.2,4.0,1.5,1.2,0.5,1.2,3.0,11.4,/players/t/trentga02.html,/teams/POR/2020.html
455,431,Allonzo Trier,PG,24,NYK,16,1,205,6.0,11.6,.515,2.6,6.5,.405,3.3,5.1,.655,5.4,6.8,.795,0.2,3.7,3.9,3.7,0.4,0.7,3.5,4.0,20.0,/players/t/trieral01.html,/teams/NYK/2020.html
456,432,P.J. Tucker,PF,34,HOU,33,33,1190,3.3,6.9,.480,1.8,4.5,.389,1.5,2.4,.654,0.7,0.9,.767,1.6,5.7,7.3,1.4,1.2,0.4,1.1,3.3,9.0,/players/t/tuckepj01.html,/teams/HOU/2020.html
457,433,Evan Turner,PG,31,ATL,18,0,230,3.8,9.9,.381,0.0,0.8,.000,3.8,9.1,.414,1.9,2.2,.857,1.1,4.5,5.6,5.6,1.3,1.3,3.9,2.8,9.4,/players/t/turneev01.html,/teams/ATL/2020.html
458,434,Myles Turner,C,23,IND,25,25,731,5.4,11.8,.454,2.0,5.4,.364,3.4,6.4,.531,2.1,2.9,.724,1.7,5.4,7.0,1.5,0.7,2.6,1.7,3.0,14.8,/players/t/turnemy01.html,/teams/IND/2020.html
459,435,Jonas Valančiūnas,C,27,MEM,31,31,774,8.8,14.9,.594,0.8,1.9,.439,8.0,13.0,.616,2.3,3.1,.742,3.8,10.2,14.0,2.7,0.4,1.3,3.0,3.7,20.8,/players/v/valanjo01.html,/teams/MEM/2020.html
460,436,Denzel Valentine,SF,26,CHI,19,0,243,6.8,16.3,.418,4.0,10.1,.397,2.8,6.2,.452,0.7,0.7,1.000,0.4,5.2,5.6,3.0,1.9,0.7,1.6,3.9,18.4,/players/v/valende01.html,/teams/CHI/2020.html
461,437,Jarred Vanderbilt,SF,20,DEN,3,0,9,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,8.0,8.0,4.0,0.0,0.0,4.0,0.0,0.0,/players/v/vandeja01.html,/teams/DEN/2020.html
462,438,Fred VanVleet,PG,25,TOR,28,28,1021,5.8,14.6,.398,2.5,6.6,.378,3.3,8.0,.414,3.8,4.4,.871,0.2,3.6,3.8,6.8,2.0,0.2,2.5,2.2,17.9,/players/v/vanvlfr01.html,/teams/TOR/2020.html
463,439,Noah Vonleh,C,24,MIN,22,1,284,4.4,8.4,.530,0.1,1.6,.077,4.3,6.7,.642,2.5,3.0,.833,3.5,7.9,11.4,2.9,1.1,0.6,2.2,3.9,11.5,/players/v/vonleno01.html,/teams/MIN/2020.html
464,440,Nikola Vučević,C,29,ORL,21,21,654,8.0,17.9,.448,1.7,4.9,.337,6.4,13.0,.489,2.8,3.5,.794,3.0,9.6,12.6,4.1,1.0,1.2,1.3,2.2,20.5,/players/v/vucevni01.html,/teams/ORL/2020.html
466,441,Dean Wade,PF,23,CLE,3,0,18,2.0,4.0,.500,2.0,2.0,1.000,0.0,2.0,.000,0.0,0.0,,0.0,4.0,4.0,0.0,2.0,0.0,0.0,6.0,6.0,/players/w/wadede01.html,/teams/CLE/2020.html
467,442,Moritz Wagner,C,22,WAS,21,4,429,7.8,13.4,.581,1.8,4.7,.393,6.0,8.7,.683,3.0,3.6,.837,2.9,7.8,10.7,2.3,1.3,1.1,3.6,6.8,20.5,/players/w/wagnemo01.html,/teams/WAS/2020.html
468,443,Kemba Walker,PG,29,BOS,29,29,939,8.2,19.2,.430,4.1,10.2,.397,4.2,8.9,.468,4.5,5.1,.873,0.9,3.5,4.3,5.8,1.0,0.7,2.6,1.8,25.0,/players/w/walkeke02.html,/teams/BOS/2020.html
469,444,Lonnie Walker,SG,21,SAS,23,0,234,6.8,15.1,.449,1.2,3.5,.348,5.5,11.5,.480,2.0,3.4,.591,1.4,4.3,5.7,1.8,0.9,0.5,2.3,3.7,16.8,/players/w/walkelo01.html,/teams/SAS/2020.html
470,445,Tyrone Wallace,SG,25,ATL,14,0,160,3.2,9.9,.318,0.2,3.4,.067,2.9,6.5,.448,2.5,3.8,.647,0.7,4.3,5.0,2.9,1.6,0.2,2.3,4.3,9.0,/players/w/wallaty01.html,/teams/ATL/2020.html
471,446,Taurean Waller-Prince,SF,25,BRK,31,31,942,5.2,13.9,.376,2.9,7.9,.369,2.3,6.0,.386,1.1,1.5,.763,1.0,6.8,7.7,2.6,1.0,0.5,2.4,3.3,14.5,/players/p/princta02.html,/teams/BRK/2020.html
472,447,Derrick Walton,PG,24,LAC,16,0,151,2.6,5.2,.500,1.4,3.3,.429,1.2,1.9,.625,1.4,1.7,.857,0.5,1.9,2.4,4.1,1.0,0.0,0.7,2.9,8.1,/players/w/waltode01.html,/teams/LAC/2020.html
473,448,Brad Wanamaker,PG,30,BOS,30,0,560,4.1,9.4,.438,0.9,2.5,.359,3.2,6.9,.467,3.9,4.4,.897,0.8,3.3,4.1,5.5,1.4,0.5,2.3,3.5,13.1,/players/w/wanambr01.html,/teams/BOS/2020.html
474,449,T.J. Warren,SF,26,IND,33,33,1069,7.8,15.7,.497,1.3,3.7,.360,6.5,12.0,.539,2.7,3.2,.842,0.9,3.1,4.0,1.3,1.1,0.5,1.4,2.8,19.7,/players/w/warretj01.html,/teams/IND/2020.html
475,450,PJ Washington,PF,21,CHO,30,30,889,5.6,11.7,.483,1.7,4.2,.413,3.9,7.5,.522,2.1,3.2,.667,1.1,5.2,6.3,2.0,1.1,1.1,1.6,3.2,15.1,/players/w/washipj01.html,/teams/CHO/2020.html
476,451,Yuta Watanabe,SG,25,MEM,4,0,18,6.0,12.0,.500,2.0,4.0,.500,4.0,8.0,.500,0.0,0.0,,2.0,8.0,10.0,0.0,0.0,2.0,2.0,2.0,14.0,/players/w/watanyu01.html,/teams/MEM/2020.html
477,452,Tremont Waters,PG,22,BOS,3,0,28,6.4,15.4,.417,2.6,9.0,.286,3.9,6.4,.600,2.6,2.6,1.000,0.0,2.6,2.6,3.9,1.3,2.6,5.1,3.9,18.0,/players/w/watertr01.html,/teams/BOS/2020.html
478,453,Russell Westbrook,PG,31,HOU,29,29,1025,9.1,21.5,.424,1.2,5.1,.234,7.9,16.4,.483,5.1,6.4,.792,1.7,6.6,8.3,7.2,1.5,0.4,4.5,3.8,24.6,/players/w/westbru01.html,/teams/HOU/2020.html
479,454,Coby White,SG,19,CHI,33,0,791,6.2,16.7,.370,2.8,8.1,.345,3.4,8.7,.393,1.8,2.3,.800,0.5,4.9,5.3,3.4,1.0,0.1,2.3,1.9,17.0,/players/w/whiteco01.html,/teams/CHI/2020.html
